Date,Stock Symbol,Open Price,High Price,Low Price,Close Price,Volume
2023-01-01,RELIANCE,2686.2,2785.93,2642.42,2752.87,895610
2023-01-01,TCS,2928.91,3020.4,2863.06,2863.17,748415
2023-01-01,INFY,2114.14,2125.64,2080.94,2121.31,585271
2023-01-01,HDFCBANK,1712.1,1760.03,1642.92,1663.23,625977
2023-01-01,ICICIBANK,1885.21,1897.91,1836.89,1884.31,499509
2023-01-01,BAJFINANCE,1021.36,1106.82,995.23,1077.14,344275
2023-01-01,HUL,2971.15,3054.84,2935.97,3036.88,849958
2023-01-01,KOTAKBANK,1602.94,1654.88,1518.76,1598.45,720001
2023-01-01,LT,2194.3,2270.28,2178.49,2208.54,307916
2023-01-01,ITC,2556.16,2647.05,2535.07,2585.66,562617
2023-01-02,RELIANCE,1450.71,1515.66,1436.43,1505.94,722402
2023-01-02,TCS,1223.0,1304.66,1198.8,1233.54,566518
2023-01-02,INFY,1795.84,1872.63,1738.02,1796.05,450873
2023-01-02,HDFCBANK,1182.77,1248.59,1132.92,1214.5,235471
2023-01-02,ICICIBANK,1714.73,1803.75,1653.11,1690.73,190886
2023-01-02,BAJFINANCE,1321.69,1347.77,1303.8,1333.43,590522
2023-01-02,HUL,1771.89,1788.6,1705.04,1777.98,961981
2023-01-02,KOTAKBANK,2677.24,2702.39,2633.36,2698.38,865028
2023-01-02,LT,2610.85,2628.59,2568.29,2615.05,910190
2023-01-02,ITC,2625.62,2722.87,2561.87,2670.98,704984
2023-01-03,RELIANCE,1879.03,1972.49,1831.07,1882.65,757544
2023-01-03,TCS,2863.25,2941.48,2793.23,2924.99,755115
2023-01-03,INFY,2715.65,2764.17,2652.32,2718.95,822671
2023-01-03,HDFCBANK,2731.28,2753.94,2638.67,2663.76,656928
2023-01-03,ICICIBANK,2155.53,2196.2,2078.02,2109.37,306041
2023-01-03,BAJFINANCE,1318.64,1375.25,1228.76,1258.87,731008
2023-01-03,HUL,1399.71,1494.72,1358.22,1386.88,650119
2023-01-03,KOTAKBANK,2525.92,2542.06,2491.07,2519.28,539900
2023-01-03,LT,2587.32,2659.08,2528.99,2614.22,889562
2023-01-03,ITC,1765.83,1840.18,1704.85,1824.86,856962
2023-01-04,RELIANCE,2095.14,2146.63,2068.38,2118.4,247920
2023-01-04,TCS,1480.28,1570.14,1423.33,1544.27,932628
2023-01-04,INFY,2766.01,2861.26,2730.17,2823.76,346993
2023-01-04,HDFCBANK,1316.98,1411.22,1255.36,1402.93,907327
2023-01-04,ICICIBANK,2535.8,2619.86,2498.28,2584.41,998457
2023-01-04,BAJFINANCE,1881.51,1931.34,1798.47,1928.1,186448
2023-01-04,HUL,2684.05,2783.58,2607.05,2634.98,698752
2023-01-04,KOTAKBANK,2849.38,2925.64,2759.31,2844.62,197745
2023-01-04,LT,2815.54,2867.63,2724.07,2792.98,807357
2023-01-04,ITC,2348.26,2387.78,2277.74,2351.81,740711
2023-01-05,RELIANCE,1438.89,1498.37,1383.08,1498.18,810137
2023-01-05,TCS,2543.84,2616.98,2460.59,2594.91,528506
2023-01-05,INFY,2548.87,2645.19,2501.94,2565.09,516689
2023-01-05,HDFCBANK,2126.36,2194.16,2069.35,2170.69,352224
2023-01-05,ICICIBANK,2813.69,2866.87,2776.66,2859.78,238390
2023-01-05,BAJFINANCE,1922.77,1993.12,1874.11,1916.97,958789
2023-01-05,HUL,2444.38,2492.19,2370.13,2467.1,360332
2023-01-05,KOTAKBANK,1707.62,1772.89,1669.79,1698.34,306359
2023-01-05,LT,2638.16,2655.23,2612.16,2634.8,370809
2023-01-05,ITC,2376.16,2403.43,2276.8,2292.82,893782
2023-01-06,RELIANCE,1042.71,1142.56,1015.65,1100.27,541147
2023-01-06,TCS,1055.11,1127.27,1031.72,1126.74,342584
2023-01-06,INFY,1240.18,1326.2,1162.26,1316.44,376223
2023-01-06,HDFCBANK,1350.34,1360.72,1292.32,1347.22,323786
2023-01-06,ICICIBANK,1252.8,1272.37,1191.18,1256.35,126595
2023-01-06,BAJFINANCE,2913.27,2923.65,2871.01,2903.02,804046
2023-01-06,HUL,2959.89,3058.4,2877.53,2896.67,352369
2023-01-06,KOTAKBANK,2955.06,3041.5,2929.33,3002.0,847835
2023-01-06,LT,1663.16,1761.62,1576.81,1719.9,613773
2023-01-06,ITC,2891.32,2938.96,2829.19,2848.55,323014
2023-01-07,RELIANCE,2586.55,2601.93,2555.55,2597.07,742172
2023-01-07,TCS,1951.53,1972.87,1862.24,1913.34,131907
2023-01-07,INFY,2081.57,2115.99,2022.32,2066.59,199685
2023-01-07,HDFCBANK,2283.49,2302.26,2198.85,2216.33,127038
2023-01-07,ICICIBANK,2220.97,2290.84,2128.02,2167.37,307143
2023-01-07,BAJFINANCE,1074.69,1094.98,1025.57,1053.77,960725
2023-01-07,HUL,1763.33,1807.98,1750.05,1785.49,546834
2023-01-07,KOTAKBANK,2118.46,2191.04,2081.3,2105.18,300808
2023-01-07,LT,2325.84,2388.8,2283.48,2286.25,149000
2023-01-07,ITC,1581.86,1598.19,1495.16,1503.48,239360
2023-01-08,RELIANCE,2031.88,2071.46,2014.98,2041.55,933464
2023-01-08,TCS,2255.51,2303.63,2226.76,2259.23,742954
2023-01-08,INFY,1312.79,1410.05,1297.74,1402.5,408459
2023-01-08,HDFCBANK,1093.16,1139.95,1075.99,1139.93,263602
2023-01-08,ICICIBANK,1507.05,1572.58,1466.45,1568.01,579094
2023-01-08,BAJFINANCE,2912.23,2979.35,2902.1,2942.88,391863
2023-01-08,HUL,1791.75,1844.52,1730.47,1757.78,732370
2023-01-08,KOTAKBANK,2837.7,2929.9,2806.0,2889.67,516909
2023-01-08,LT,1186.79,1253.67,1147.51,1168.32,779693
2023-01-08,ITC,2432.09,2476.04,2357.92,2444.44,709883
2023-01-09,RELIANCE,1387.21,1427.76,1353.12,1406.44,479035
2023-01-09,TCS,2558.68,2592.41,2512.73,2554.85,594057
2023-01-09,INFY,2018.94,2086.21,1990.06,2018.57,407466
2023-01-09,HDFCBANK,2162.13,2232.18,2108.66,2231.03,808447
2023-01-09,ICICIBANK,2943.24,2956.18,2889.99,2944.9,129307
2023-01-09,BAJFINANCE,2971.09,3010.21,2929.36,2962.33,238361
2023-01-09,HUL,2079.23,2154.72,2043.15,2102.67,127829
2023-01-09,KOTAKBANK,2171.78,2214.69,2117.79,2150.33,331083
2023-01-09,LT,1119.88,1181.99,1055.25,1095.61,125665
2023-01-09,ITC,1594.78,1646.6,1510.45,1603.62,234180
2023-01-10,RELIANCE,1364.35,1390.85,1301.4,1319.46,629517
2023-01-10,TCS,1687.59,1767.36,1601.57,1755.9,148135
2023-01-10,INFY,1293.99,1324.38,1271.42,1274.39,624583
2023-01-10,HDFCBANK,2399.56,2489.45,2387.04,2415.9,816549
2023-01-10,ICICIBANK,2010.12,2028.24,1997.82,2018.67,597950
2023-01-10,BAJFINANCE,1534.22,1564.18,1489.38,1533.66,473786
2023-01-10,HUL,2216.73,2297.23,2131.67,2182.88,727697
2023-01-10,KOTAKBANK,2585.69,2598.65,2534.4,2552.39,761645
2023-01-10,LT,1865.32,1885.3,1828.43,1833.61,171438
2023-01-10,ITC,1127.2,1203.8,1094.17,1144.95,513598
2023-01-11,RELIANCE,2102.23,2155.74,2071.75,2094.94,498122
2023-01-11,TCS,1726.16,1755.41,1635.36,1704.52,722081
2023-01-11,INFY,2783.6,2881.85,2722.68,2803.1,100309
2023-01-11,HDFCBANK,2089.96,2107.37,2035.03,2047.29,773987
2023-01-11,ICICIBANK,1535.92,1603.97,1508.07,1562.88,710998
2023-01-11,BAJFINANCE,2556.65,2583.23,2475.85,2570.54,367897
2023-01-11,HUL,1169.46,1257.41,1126.66,1234.85,279512
2023-01-11,KOTAKBANK,2567.51,2649.66,2491.3,2574.54,478399
2023-01-11,LT,1131.43,1169.57,1111.61,1161.21,967427
2023-01-11,ITC,2824.85,2837.99,2755.98,2759.12,284144
2023-01-12,RELIANCE,1599.6,1648.55,1516.98,1630.67,741027
2023-01-12,TCS,2812.26,2876.1,2750.66,2846.39,723830
2023-01-12,INFY,1255.16,1293.92,1191.71,1270.88,208537
2023-01-12,HDFCBANK,2250.71,2291.21,2189.94,2236.04,419079
2023-01-12,ICICIBANK,1299.59,1377.78,1261.6,1373.14,255207
2023-01-12,BAJFINANCE,2092.66,2140.58,2030.12,2074.87,862196
2023-01-12,HUL,2300.85,2321.36,2217.67,2286.1,621185
2023-01-12,KOTAKBANK,1131.59,1173.9,1067.32,1080.57,896072
2023-01-12,LT,1708.45,1779.01,1615.55,1679.53,584330
2023-01-12,ITC,2746.86,2785.3,2685.83,2752.02,450117
2023-01-13,RELIANCE,1125.34,1164.23,1092.69,1114.52,950260
2023-01-13,TCS,2259.69,2349.97,2195.97,2242.38,474537
2023-01-13,INFY,2175.01,2210.23,2137.86,2165.91,855197
2023-01-13,HDFCBANK,2739.78,2836.23,2641.37,2673.04,482206
2023-01-13,ICICIBANK,2130.59,2226.88,2071.86,2123.76,445825
2023-01-13,BAJFINANCE,1236.21,1253.28,1147.87,1186.44,353503
2023-01-13,HUL,2335.14,2431.68,2264.29,2343.43,648422
2023-01-13,KOTAKBANK,1724.5,1786.19,1708.27,1752.44,997389
2023-01-13,LT,2150.26,2185.5,2131.47,2143.69,958001
2023-01-13,ITC,1854.21,1879.96,1759.97,1767.59,417982
2023-01-14,RELIANCE,2277.39,2337.96,2201.05,2325.1,328701
2023-01-14,TCS,2968.68,3026.37,2909.68,2935.1,155984
2023-01-14,INFY,1279.63,1326.32,1245.95,1258.31,910057
2023-01-14,HDFCBANK,2803.86,2901.37,2792.51,2827.07,346298
2023-01-14,ICICIBANK,2632.44,2731.13,2599.73,2663.17,537029
2023-01-14,BAJFINANCE,1626.29,1690.31,1526.73,1534.01,200583
2023-01-14,HUL,1818.35,1916.88,1735.46,1884.98,735666
2023-01-14,KOTAKBANK,1385.05,1433.94,1316.9,1384.78,851889
2023-01-14,LT,1937.99,1966.11,1882.71,1884.26,245340
2023-01-14,ITC,2053.66,2138.27,2018.98,2028.09,986525
2023-01-15,RELIANCE,1192.1,1238.24,1114.15,1117.07,834897
2023-01-15,TCS,1115.33,1178.8,1068.77,1122.03,697338
2023-01-15,INFY,1375.81,1460.5,1300.87,1408.39,967357
2023-01-15,HDFCBANK,1319.37,1399.5,1230.24,1305.39,881335
2023-01-15,ICICIBANK,1052.97,1090.6,1004.25,1084.2,534528
2023-01-15,BAJFINANCE,1241.31,1274.58,1177.67,1221.48,624862
2023-01-15,HUL,1831.85,1917.75,1753.01,1756.93,556047
2023-01-15,KOTAKBANK,2797.79,2823.96,2754.31,2819.19,831696
2023-01-15,LT,1009.61,1081.94,956.41,960.31,602833
2023-01-15,ITC,1796.82,1833.33,1780.26,1799.2,786013
2023-01-16,RELIANCE,2665.59,2700.69,2618.78,2677.49,841899
2023-01-16,TCS,2875.94,2948.25,2803.9,2856.98,159051
2023-01-16,INFY,2592.83,2611.75,2536.51,2568.75,933782
2023-01-16,HDFCBANK,1616.71,1640.16,1568.17,1570.18,190860
2023-01-16,ICICIBANK,2255.74,2293.63,2213.97,2240.94,105354
2023-01-16,BAJFINANCE,1389.3,1442.35,1370.62,1398.12,138048
2023-01-16,HUL,2353.22,2372.24,2257.34,2337.06,517809
2023-01-16,KOTAKBANK,1966.73,2056.67,1937.67,1998.8,819391
2023-01-16,LT,1623.28,1712.7,1571.14,1660.41,311502
2023-01-16,ITC,2201.41,2229.5,2164.86,2166.57,967505
2023-01-17,RELIANCE,1222.03,1253.83,1153.34,1177.74,172035
2023-01-17,TCS,1739.49,1760.75,1727.87,1757.87,704075
2023-01-17,INFY,2607.1,2700.1,2589.15,2642.55,473543
2023-01-17,HDFCBANK,2565.6,2648.21,2467.08,2532.2,635858
2023-01-17,ICICIBANK,2244.69,2294.61,2193.12,2199.35,214759
2023-01-17,BAJFINANCE,2503.96,2591.41,2407.04,2509.81,531521
2023-01-17,HUL,2391.14,2475.32,2299.22,2315.25,259808
2023-01-17,KOTAKBANK,1763.04,1800.3,1740.64,1773.96,201181
2023-01-17,LT,2625.72,2686.13,2551.56,2669.47,575398
2023-01-17,ITC,1082.73,1166.1,999.93,1020.43,378170
2023-01-18,RELIANCE,2814.39,2873.9,2742.72,2855.65,530656
2023-01-18,TCS,1133.13,1187.68,1054.51,1080.04,282776
2023-01-18,INFY,2191.61,2281.35,2115.39,2166.84,254154
2023-01-18,HDFCBANK,1739.67,1824.39,1707.09,1801.27,193083
2023-01-18,ICICIBANK,2428.54,2479.79,2366.7,2471.22,372315
2023-01-18,BAJFINANCE,1535.62,1571.96,1510.43,1541.21,669358
2023-01-18,HUL,1539.22,1634.75,1490.35,1584.14,797548
2023-01-18,KOTAKBANK,1740.62,1835.19,1678.06,1801.23,807715
2023-01-18,LT,2960.03,2997.03,2923.88,2929.11,963499
